provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,variant,MRR,MRR_drop,Hits@1,Hits@1_drop,Hits@10,Hits@10_drop,interpretation
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-9,tab:module_ablation,Macro ablation on ICEWS14,ICEWS14,LMCA-TIC,47.36,0.0,36.32,0.0,69.81,0.0,Full model
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-9,tab:module_ablation,Macro ablation on ICEWS14,ICEWS14,w/o LLM,35.42,-11.94,23.61,-12.71,57.49,-12.32,Semantic initialization is the main gain source
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-9,tab:module_ablation,Macro ablation on ICEWS14,ICEWS14,w/o TGN,41.89,-5.47,31.83,-4.49,63.78,-6.03,Structural evidence is a key supplement
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-9,tab:module_ablation,Macro ablation on ICEWS14,ICEWS14,w/o Temporal,44.53,-2.83,33.96,-2.36,68.62,-1.19,Query time provides explicit calibration
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-9,tab:module_ablation,Macro ablation on ICEWS14,ICEWS14,w/o Gate,45.81,-1.55,35.18,-1.14,67.94,-1.87,Fusion strategy refines ranking
