provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,subset,setting,model,MRR,MRR_std,Hits@1,Hits@1_std,Hits@10,Hits@10_std
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-4,tab:inductive_subset,Inductive subset performance on ICEWS14,ICEWS14,inductive,Transductive baseline,RE-GCN,8.67,1.42,3.41,0.87,20.73,1.95
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-4,tab:inductive_subset,Inductive subset performance on ICEWS14,ICEWS14,inductive,Structured inductive,POSTRA,27.38,0.91,19.06,1.13,44.58,1.47
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-4,tab:inductive_subset,Inductive subset performance on ICEWS14,ICEWS14,inductive,Anchor inductive,RAA-KGC,29.74,0.96,21.53,0.88,47.81,1.34
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-4,tab:inductive_subset,Inductive subset performance on ICEWS14,ICEWS14,inductive,Multimodal inductive,LMCA-TIC,32.14,0.89,24.07,1.04,51.22,1.16
