provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,subset,model_family,model,shot_1_mrr,shot_3_mrr,shot_5_mrr,shot_10_mrr
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-5,tab:few_shot_robustness,Few-shot inductive robustness on ICEWS14,ICEWS14,inductive,Transductive baseline,RE-GCN,7.84,12.51,17.92,23.06
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-5,tab:few_shot_robustness,Few-shot inductive robustness on ICEWS14,ICEWS14,inductive,Structured inductive,POSTRA,20.41,25.83,28.04,31.78
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-5,tab:few_shot_robustness,Few-shot inductive robustness on ICEWS14,ICEWS14,inductive,Anchor inductive,RAA-KGC,22.18,25.37,30.16,33.27
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-5,tab:few_shot_robustness,Few-shot inductive robustness on ICEWS14,ICEWS14,inductive,Multimodal inductive,LMCA-TIC,24.43,29.81,32.05,36.84
