provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,strategy,main_mrr,inductive_mrr,one_shot_mrr
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-15,tab:neg_open_scenario,Negative-sampling strategies under open scenarios on ICEWS14,ICEWS14,LMCA-TIC-S,44.07,28.41,21.63
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-15,tab:neg_open_scenario,Negative-sampling strategies under open scenarios on ICEWS14,ICEWS14,LMCA-TIC-C,45.51,30.27,23.18
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-15,tab:neg_open_scenario,Negative-sampling strategies under open scenarios on ICEWS14,ICEWS14,LMCA-TIC,47.36,32.14,24.43
