provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,model,rho,MRR,Hits@1,Hits@10
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-14,tab:rho_sensitivity,Summary-weight coefficient rho sensitivity on ICEWS14,ICEWS14,LMCA-TIC,0.0,45.51,33.87,67.24
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-14,tab:rho_sensitivity,Summary-weight coefficient rho sensitivity on ICEWS14,ICEWS14,LMCA-TIC,0.1,46.42,34.86,68.13
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-14,tab:rho_sensitivity,Summary-weight coefficient rho sensitivity on ICEWS14,ICEWS14,LMCA-TIC,0.2,47.04,35.74,69.21
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-14,tab:rho_sensitivity,Summary-weight coefficient rho sensitivity on ICEWS14,ICEWS14,LMCA-TIC,0.3,47.36,36.32,69.81
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-14,tab:rho_sensitivity,Summary-weight coefficient rho sensitivity on ICEWS14,ICEWS14,LMCA-TIC,0.5,47.18,36.05,69.52
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-14,tab:rho_sensitivity,Summary-weight coefficient rho sensitivity on ICEWS14,ICEWS14,LMCA-TIC,0.7,46.78,35.39,68.81
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-14,tab:rho_sensitivity,Summary-weight coefficient rho sensitivity on ICEWS14,ICEWS14,LMCA-TIC,1.0,45.83,34.16,67.42
