provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,model,window_days,MRR,MRR_std,Hits@1,Hits@1_std,Hits@10,Hits@10_std
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-8,tab:window_sensitivity,Local history-window sensitivity for LMCA-TIC on ICEWS14,ICEWS14,LMCA-TIC,3,45.83,0.23,34.71,0.3,67.38,0.35
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-8,tab:window_sensitivity,Local history-window sensitivity for LMCA-TIC on ICEWS14,ICEWS14,LMCA-TIC,7,46.71,0.19,35.62,0.25,68.47,0.29
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-8,tab:window_sensitivity,Local history-window sensitivity for LMCA-TIC on ICEWS14,ICEWS14,LMCA-TIC,14,47.36,0.18,36.32,0.22,69.81,0.27
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-8,tab:window_sensitivity,Local history-window sensitivity for LMCA-TIC on ICEWS14,ICEWS14,LMCA-TIC,21,47.18,0.17,36.14,0.21,69.53,0.25
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-8,tab:window_sensitivity,Local history-window sensitivity for LMCA-TIC on ICEWS14,ICEWS14,LMCA-TIC,30,46.41,0.21,35.39,0.27,68.58,0.31
