provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,model,noise_0,noise_10,noise_20,noise_30,max_relative_drop_pct
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-11,tab:adversarial_poisoning_drop,Structural-noise robustness on ICEWS14,ICEWS14,CENET,40.43,36.88,32.14,27.53,-31.91
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-11,tab:adversarial_poisoning_drop,Structural-noise robustness on ICEWS14,ICEWS14,TPAR,41.37,38.02,33.76,28.94,-30.04
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-11,tab:adversarial_poisoning_drop,Structural-noise robustness on ICEWS14,ICEWS14,w/o Gate,45.81,43.24,39.68,35.71,-22.05
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-11,tab:adversarial_poisoning_drop,Structural-noise robustness on ICEWS14,ICEWS14,LMCA-TIC,47.36,45.58,42.31,38.91,-17.84
