provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,strategy,MRR,Hits@1,Hits@3,Hits@10
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-13,tab:negative_sampling,Negative-sampling strategy comparison on ICEWS14,ICEWS14,LMCA-TIC-S,44.07,31.58,49.83,65.38
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-13,tab:negative_sampling,Negative-sampling strategy comparison on ICEWS14,ICEWS14,LMCA-TIC-C,45.51,33.87,51.62,67.24
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-13,tab:negative_sampling,Negative-sampling strategy comparison on ICEWS14,ICEWS14,LMCA-TIC,47.36,36.32,53.48,69.81
