provenance,reported_in_manuscript,source_document,source_note,paper_table_number,paper_table_label,paper_table_title,dataset,variant,use_gs,use_ni,use_sl,MRR
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-12,tab:gnn_ablation,Micro topology ablation inside the structural branch,ICEWS14,V1,True,False,False,35.46
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-12,tab:gnn_ablation,Micro topology ablation inside the structural branch,ICEWS14,V2,False,True,False,40.88
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-12,tab:gnn_ablation,Micro topology ablation inside the structural branch,ICEWS14,V3,False,False,True,40.17
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-12,tab:gnn_ablation,Micro topology ablation inside the structural branch,ICEWS14,V4,True,True,True,44.03
paper_reported,True,chapter3_manuscript,Reported in the Chapter 3 manuscript; not regenerated by this workspace.,Table 3-12,tab:gnn_ablation,Micro topology ablation inside the structural branch,ICEWS14,LMCA-TIC,False,True,True,43.71
